# 일본판·영어판 대사 블록 번호와 PC판 한글 대사 파일의 대응 (tools/pc2ds.py 가 사용)
# 블록 번호는 mess.bin 안의 순서. 0~1246 은 일본판과 영어판이 같고, 1247~1256 은 영어판에만 있다.
# 짝은 덩어리 개수·꼬리표·반복 패턴과 종류별 파일 순서로 찾았고, 기타 화면은 내용을 읽고 정했다.
block	file
1109	RR1_ST9202_B_ENG
1110	RR1_ST9202_C_ENG
1111	RR1_ST9202_D_ENG
1112	RR1_ST9202_X_ENG
1114	RR1_ST9203_B_ENG
1115	RR1_ST9203_C_ENG
1116	RR1_ST9203_D_ENG
1119	RR1_ST9204_B_ENG
1120	RR1_ST9204_C_ENG
1121	RR1_ST9204_D_ENG
1124	RR1_ST9205_B_ENG
1125	RR1_ST9205_C_ENG
1126	RR1_ST9205_D_ENG
1127	RR1_ST9205_X_ENG
1129	RR1_ST9206_B_ENG
1130	RR1_ST9206_C_ENG
1131	RR1_ST9206_D_ENG
1132	RR1_ST9206_X_ENG
1134	RR1_ST9207_B_ENG
1135	RR1_ST9207_C_ENG
1136	RR1_ST9207_D_ENG
1139	RR1_ST9208_B_ENG
1140	RR1_ST9208_C_ENG
1141	RR1_ST9208_D_ENG
1142	RR1_ST9208_X_ENG
1144	RR1_ST9300_C_ENG
1145	RR1_ST9300_D_ENG
1146	RR1_ST9300_X_ENG
1148	RR1_ST9301_C_ENG
1149	RR1_ST9301_D_ENG
1150	RR1_ST9301_X_ENG
1152	RR1_ST9302_C_ENG
1153	RR1_ST9302_D_ENG
1154	RR1_ST9302_X_ENG
1156	RR1_ST9303_C_ENG
